Curva;Tipo_De_Material;Setor_Industrial;Unidade_Volume;Custo (R$);Movimentação;Movimentação X Custo
A;MATERIAL_ALTO_VALOR;QUÍMICA;GRAMA;5100;987;5033700
A;MATERIAL_ALTO_VALOR;ENGENHARIA_MECÂNICA;GRAMA;5400;890;4806000
A;MATERIAL_ALTO_VALOR;CONSTRUÇÃO_INDUSTRIAL;GRAMA;5200;890;4628000
A;MATERIAL_ALTO_VALOR;QUÍMICA;GRAMA;5100;890;4539000
A;MATERIAL_ALTO_VALOR;CONSTRUÇÃO_INDUSTRIAL;GRAMA;4800;890;4272000
A;MATERIAL_ALTO_VALOR;ENGENHARIA_MECÂNICA;GRAMA;5400;789;4260600
A;MATERIAL_ALTO_VALOR;ENGENHARIA_MECÂNICA;GRAMA;5100;789;4023900
A;PRODUTO_SEMIACABADO;INDÚSTRIA_FARMACÊUTICA;GRAMA;5000;789;3945000
A;PRODUTO_COMERCIALIZÁVEL;CONSTRUÇÃO_INDUSTRIAL;GRAMA;4700;789;3708300
A;MATERIAL_ALTO_VALOR;COMÉRCIO;GRAMA;4600;789;3629400
A;PRODUTO_MATERIA_PRIMA;INDÚSTRIA_FARMACÊUTICA;GRAMA;5500;654;3597000
A;MATERIAL_ALTO_VALOR;CONSTRUÇÃO_INDUSTRIAL;GRAMA;5300;678;3593400
A;MATERIAL_ALTO_VALOR;CONSTRUÇÃO_INDUSTRIAL;GRAMA;5300;678;3593400
A;MATERIAL_ALTO_VALOR;QUÍMICA;GRAMA;4500;789;3550500
A;MATERIAL_ALTO_VALOR;QUÍMICA;GRAMA;5100;678;3457800
A;PRODUTO_ACABADO;CONSTRUÇÃO_INDUSTRIAL;GRAMA;5200;654;3400800
A;MATERIAL_ALTO_VALOR;INDÚSTRIA_FARMACÊUTICA;GRAMA;5200;654;3400800
A;MATERIAL_ALTO_VALOR;QUÍMICA;GRAMA;4800;678;3254400
A;MATERIAL_ALTO_VALOR;COMÉRCIO;GRAMA;4700;678;3186600
A;PRODUTO_ACABADO;QUÍMICA;GRAMA;4800;543;2606400
B;MATERIAL_ALTO_VALOR;ENGENHARIA_MECÂNICA;GRAMA;5400;456;2462400
B;MATERIAL_ALTO_VALOR;ENGENHARIA_MECÂNICA;GRAMA;5100;456;2325600
B;MATERIAL_ALTO_VALOR;COMÉRCIO;GRAMA;4600;456;2097600
B;PRODUTO_ACABADO;CONSTRUÇÃO_INDUSTRIAL;TONELADA;2100;890;1869000
B;PRODUTO_ACABADO;QUÍMICA;TONELADA;2050;876;1795800
B;PRODUTO_ACABADO;ENGENHARIA_MECÂNICA;TONELADA;1900;890;1691000
B;PRODUTO_ACABADO;ENGENHARIA_MECÂNICA;TONELADA;1900;876;1664400
B;MATERIAL_ALTO_VALOR;CONSTRUÇÃO_INDUSTRIAL;GRAMA;4800;345;1656000
B;MATERIAL_ALTO_VALOR;COMÉRCIO;GRAMA;4700;345;1621500
B;PRODUTO_ACABADO;QUÍMICA;TONELADA;2050;789;1617450
B;PRODUTO_ACABADO;ENGENHARIA_MECÂNICA;TONELADA;1800;890;1602000
B;PRODUTO_SEMIACABADO;INDÚSTRIA_FARMACÊUTICA;TONELADA;1800;890;1602000
