Curva	Tipo_De_Material	Setor_Industrial	Unidade_Volume	Custo (R$)	Peso (kg)
A	PRODUTO_ACABADO	INDÚSTRIA_FARMACÊUTICA	TONELADA	1500,00	1000,00
A	PRODUTO_SEMIACABADO	CONSTRUÇÃO_INDUSTRIAL	UNIDADE	75,00	0,50
A	PRODUTO_MATERIA_PRIMA	ENGENHARIA_MECÂNICA	KG	25,00	1,00
A	PRODUTO_COMERCIALIZÁVEL	INDÚSTRIA_FARMACÊUTICA	LIBRA	200,00	0,45
A	MATERIAL_ALTO_VALOR	INDÚSTRIA_FARMACÊUTICA	GRAMA	5000,00	0,10
A	PRODUTO_ACABADO	INDÚSTRIA_FARMACÊUTICA	TONELADA	1550,00	1000,00
A	PRODUTO_SEMIACABADO	INDÚSTRIA_FARMACÊUTICA	UNIDADE	80,00	0,40
A	PRODUTO_MATERIA_PRIMA	COMÉRCIO	KG	30,00	1,20
A	PRODUTO_COMERCIALIZÁVEL	COMÉRCIO	LIBRA	220,00	0,50
A	MATERIAL_ALTO_VALOR	QUÍMICA	GRAMA	4500,00	0,08
A	PRODUTO_ACABADO	ENGENHARIA_MECÂNICA	TONELADA	1600,00	1000,00
A	PRODUTO_SEMIACABADO	ENGENHARIA_MECÂNICA	UNIDADE	70,00	0,60
B	PRODUTO_MATERIA_PRIMA	QUÍMICA	KG	28,00	1,10
B	PRODUTO_COMERCIALIZÁVEL	CONSTRUÇÃO_INDUSTRIAL	LIBRA	180,00	0,55
B	MATERIAL_ALTO_VALOR	QUÍMICA	GRAMA	4800,00	0,09
B	PRODUTO_ACABADO	INDÚSTRIA_FARMACÊUTICA	TONELADA	1700,00	1000,00
B	PRODUTO_SEMIACABADO	QUÍMICA	UNIDADE	65,00	0,70
B	PRODUTO_MATERIA_PRIMA	CONSTRUÇÃO_INDUSTRIAL	KG	35,00	1,15
B	PRODUTO_COMERCIALIZÁVEL	INDÚSTRIA_FARMACÊUTICA	LIBRA	210,00	0,50
B	MATERIAL_ALTO_VALOR	CONSTRUÇÃO_INDUSTRIAL	GRAMA	5200,00	0,11
B	PRODUTO_ACABADO	QUÍMICA	TONELADA	1750,00	1000,00
B	PRODUTO_SEMIACABADO	QUÍMICA	UNIDADE	75,00	0,65
B	PRODUTO_MATERIA_PRIMA	QUÍMICA	KG	32,00	1,25
B	PRODUTO_COMERCIALIZÁVEL	ENGENHARIA_MECÂNICA	LIBRA	190,00	0,50
B	MATERIAL_ALTO_VALOR	ENGENHARIA_MECÂNICA	GRAMA	5100,00	0,10
B	PRODUTO_ACABADO	ENGENHARIA_MECÂNICA	TONELADA	1800,00	1000,00
B	PRODUTO_SEMIACABADO	ENGENHARIA_MECÂNICA	UNIDADE	85,00	0,55
B	PRODUTO_MATERIA_PRIMA	COMÉRCIO	KG	40,00	1,30
B	PRODUTO_COMERCIALIZÁVEL	CONSTRUÇÃO_INDUSTRIAL	LIBRA	230,00	0,60
B	MATERIAL_ALTO_VALOR	COMÉRCIO	GRAMA	4700,00	0,12
B	PRODUTO_ACABADO	CONSTRUÇÃO_INDUSTRIAL	TONELADA	1850,00	1000,00
B	PRODUTO_SEMIACABADO	QUÍMICA	UNIDADE	90,00	0,50
B	PRODUTO_MATERIA_PRIMA	CONSTRUÇÃO_INDUSTRIAL	KG	45,00	1,35
B	PRODUTO_COMERCIALIZÁVEL	INDÚSTRIA_FARMACÊUTICA	LIBRA	200,00	0,55
B	MATERIAL_ALTO_VALOR	INDÚSTRIA_FARMACÊUTICA	GRAMA	5500,00	0,09
B	PRODUTO_ACABADO	CONSTRUÇÃO_INDUSTRIAL	TONELADA	1900,00	1000,00
B	PRODUTO_SEMIACABADO	ENGENHARIA_MECÂNICA	UNIDADE	70,00	0,60
B	PRODUTO_MATERIA_PRIMA	INDÚSTRIA_FARMACÊUTICA	KG	50,00	1,40
B	PRODUTO_COMERCIALIZÁVEL	CONSTRUÇÃO_INDUSTRIAL	LIBRA	210,00	0,50
C	MATERIAL_ALTO_VALOR	INDÚSTRIA_FARMACÊUTICA	GRAMA	5200,00	0,11
C	PRODUTO_ACABADO	ENGENHARIA_MECÂNICA	TONELADA	1900,00	1000,00
C	PRODUTO_SEMIACABADO	QUÍMICA	UNIDADE	85,00	0,70
C	PRODUTO_MATERIA_PRIMA	COMÉRCIO	KG	35,00	1,20
C	PRODUTO_COMERCIALIZÁVEL	INDÚSTRIA_FARMACÊUTICA	LIBRA	230,00	0,45
C	MATERIAL_ALTO_VALOR	CONSTRUÇÃO_INDUSTRIAL	GRAMA	4800,00	0,10
C	PRODUTO_ACABADO	COMÉRCIO	TONELADA	1950,00	1000,00
C	PRODUTO_SEMIACABADO	COMÉRCIO	UNIDADE	80,00	0,60
C	PRODUTO_MATERIA_PRIMA	QUÍMICA	KG	28,00	1,30
C	PRODUTO_COMERCIALIZÁVEL	INDÚSTRIA_FARMACÊUTICA	LIBRA	240,00	0,50
C	MATERIAL_ALTO_VALOR	COMÉRCIO	GRAMA	4600,00	0,09
C	PRODUTO_ACABADO	QUÍMICA	TONELADA	2000,00	1000,00
C	PRODUTO_SEMIACABADO	QUÍMICA	UNIDADE	70,00	0,55
C	PRODUTO_MATERIA_PRIMA	COMÉRCIO	KG	30,00	1,25
C	PRODUTO_COMERCIALIZÁVEL	QUÍMICA	LIBRA	250,00	0,60
C	MATERIAL_ALTO_VALOR	QUÍMICA	GRAMA	5100,00	0,10
C	PRODUTO_ACABADO	QUÍMICA	TONELADA	2050,00	1000,00
C	PRODUTO_SEMIACABADO	COMÉRCIO	UNIDADE	75,00	0,60
C	PRODUTO_MATERIA_PRIMA	COMÉRCIO	KG	32,00	1,20
C	PRODUTO_COMERCIALIZÁVEL	COMÉRCIO	LIBRA	260,00	0,55
C	MATERIAL_ALTO_VALOR	QUÍMICA	GRAMA	5200,00	0,08
C	PRODUTO_ACABADO	CONSTRUÇÃO_INDUSTRIAL	TONELADA	2100,00	1000,00
C	PRODUTO_SEMIACABADO	CONSTRUÇÃO_INDUSTRIAL	UNIDADE	90,00	0,55
C	PRODUTO_MATERIA_PRIMA	QUÍMICA	KG	38,00	1,15
C	PRODUTO_COMERCIALIZÁVEL	ENGENHARIA_MECÂNICA	LIBRA	270,00	0,50
C	MATERIAL_ALTO_VALOR	CONSTRUÇÃO_INDUSTRIAL	GRAMA	5300,00	0,12
C	PRODUTO_ACABADO	ENG. MECÂNICA	TONELADA	2150,00	1000,00
C	PRODUTO_SEMIACABADO	CONSTRUÇÃO_INDUSTRIAL	UNIDADE	85,00	0,50
C	PRODUTO_MATERIA_PRIMA	ENGENHARIA_MECÂNICA	KG	45,00	1,20
C	PRODUTO_COMERCIALIZÁVEL	INDÚSTRIA_FARMACÊUTICA	LIBRA	250,00	0,55
C	MATERIAL_ALTO_VALOR	COMÉRCIO	GRAMA	4700,00	0,11
C	PRODUTO_ACABADO	COMÉRCIO	TONELADA	2200,00	1000,00
C	PRODUTO_SEMIACABADO	ENG. MECÂNICA	UNIDADE	95,00	0,60
C	PRODUTO_MATERIA_PRIMA	INDÚSTRIA_FARMACÊUTICA	KG	55,00	1,30
C	PRODUTO_COMERCIALIZÁVEL	QUÍMICA	LIBRA	260,00	0,50
C	MATERIAL_ALTO_VALOR	ENGENHARIA_MECÂNICA	GRAMA	5400,00	0,10
