Curva;Tipo_De_Material;Setor_Industrial;Custo (R$);Volume (m³)
A;PRODUTO_ACABADO;INDÚSTRIA_FARMACÊUTICA;1500,00;3.5
A;PRODUTO_SEMIACABADO;CONSTRUÇÃO_INDUSTRIAL;75,00;0.01
A;PRODUTO_MATERIA_PRIMA;ENGENHARIA_MECÂNICA;25,00;0.001
A;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;200,00;0.002
A;MATERIAL_ALTO_VALOR;INDÚSTRIA_FARMACÊUTICA;5000,00;0.0001
A;PRODUTO_ACABADO;INDÚSTRIA_FARMACÊUTICA;1550,00;3.7
A;PRODUTO_SEMIACABADO;INDÚSTRIA_FARMACÊUTICA;80,00;0.008
A;PRODUTO_MATERIA_PRIMA;COMÉRCIO;30,00;0.0012
A;PRODUTO_COMERCIALIZÁVEL;COMÉRCIO;220,00;0.0022
A;MATERIAL_ALTO_VALOR;QUÍMICA;4500,00;0.00008
A;PRODUTO_ACABADO;ENGENHARIA_MECÂNICA;1600,00;3.9
A;PRODUTO_SEMIACABADO;ENGENHARIA_MECÂNICA;70,00;0.015
B;PRODUTO_MATERIA_PRIMA;QUÍMICA;28,00;0.001
B;PRODUTO_COMERCIALIZÁVEL;CONSTRUÇÃO_INDUSTRIAL;180,00;0.002
B;MATERIAL_ALTO_VALOR;QUÍMICA;4800,00;0.00009
B;PRODUTO_ACABADO;INDÚSTRIA_FARMACÊUTICA;1700,00;4
B;PRODUTO_SEMIACABADO;QUÍMICA;65,00;0.015
B;PRODUTO_MATERIA_PRIMA;CONSTRUÇÃO_INDUSTRIAL;35,00;0.0012
B;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;210,00;0.0021
B;MATERIAL_ALTO_VALOR;CONSTRUÇÃO_INDUSTRIAL;5200,00;0.00011
B;PRODUTO_ACABADO;QUÍMICA;1750,00;4.2
B;PRODUTO_SEMIACABADO;QUÍMICA;75,00;0.014
B;PRODUTO_MATERIA_PRIMA;QUÍMICA;32,00;0.0013
B;PRODUTO_COMERCIALIZÁVEL;ENGENHARIA_MECÂNICA;190,00;0.002
B;MATERIAL_ALTO_VALOR;ENGENHARIA_MECÂNICA;5100,00;0.0001
B;PRODUTO_ACABADO;ENGENHARIA_MECÂNICA;1800,00;4.3
B;PRODUTO_SEMIACABADO;ENGENHARIA_MECÂNICA;85,00;0.012
B;PRODUTO_MATERIA_PRIMA;COMÉRCIO;40,00;0.0014
B;PRODUTO_COMERCIALIZÁVEL;CONSTRUÇÃO_INDUSTRIAL;230,00;0.0023
B;MATERIAL_ALTO_VALOR;COMÉRCIO;4700,00;0.00012
B;PRODUTO_ACABADO;CONSTRUÇÃO_INDUSTRIAL;1850,00;4.1
B;PRODUTO_SEMIACABADO;QUÍMICA;90,00;0.016
B;PRODUTO_MATERIA_PRIMA;CONSTRUÇÃO_INDUSTRIAL;45,00;0.0014
B;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;200,00;0.002
B;MATERIAL_ALTO_VALOR;INDÚSTRIA_FARMACÊUTICA;5500,00;0.00009
B;PRODUTO_ACABADO;CONSTRUÇÃO_INDUSTRIAL;1900,00;4.4
B;PRODUTO_SEMIACABADO;ENGENHARIA_MECÂNICA;70,00;0.014
B;PRODUTO_MATERIA_PRIMA;INDÚSTRIA_FARMACÊUTICA;50,00;0.0015
B;PRODUTO_COMERCIALIZÁVEL;CONSTRUÇÃO_INDUSTRIAL;210,00;0.0021
C;MATERIAL_ALTO_VALOR;INDÚSTRIA_FARMACÊUTICA;5200,00;0.00011
C;PRODUTO_ACABADO;ENGENHARIA_MECÂNICA;1900,00;4.5
C;PRODUTO_SEMIACABADO;QUÍMICA;85,00;0.015
C;PRODUTO_MATERIA_PRIMA;COMÉRCIO;35,00;0.0012
C;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;230,00;0.0023
C;MATERIAL_ALTO_VALOR;CONSTRUÇÃO_INDUSTRIAL;4800,00;0.0001
C;PRODUTO_ACABADO;COMÉRCIO;1950,00;4.6
C;PRODUTO_SEMIACABADO;COMÉRCIO;80,00;0.014
C;PRODUTO_MATERIA_PRIMA;QUÍMICA;28,00;0.0013
C;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;240,00;0.0024
C;MATERIAL_ALTO_VALOR;COMÉRCIO;4600,00;0.00009
C;PRODUTO_ACABADO;QUÍMICA;2000,00;4.7
C;PRODUTO_SEMIACABADO;QUÍMICA;70,00;0.013
