Curva;Tipo_De_Material;Setor_Industrial;Unidade_Volume;Custo (R$);Volume (m³)
A;MATERIAL_ALTO_VALOR;INDÚSTRIA_FARMACÊUTICA;TONELADA;1500,00;3.5
A;PRODUTO_MATERIA_PRIMA;CONSTRUÇÃO_INDUSTRIAL;UNIDADE;75,00;0.01
A;PRODUTO_COMERCIALIZÁVEL;ENGENHARIA_MECÂNICA;KG;25,00;0.001
A;PRODUTO_ACABADO;INDÚSTRIA_FARMACÊUTICA;LIBRA;200,00;0.002
A;PRODUTO_SEMIACABADO;INDÚSTRIA_FARMACÊUTICA;GRAMA;5000,00;0.0001
A;PRODUTO_MATERIA_PRIMA;INDÚSTRIA_FARMACÊUTICA;TONELADA;1550,00;3.7
A;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;UNIDADE;80,00;0.008
A;PRODUTO_ACABADO;COMÉRCIO;KG;30,00;0.0012
A;PRODUTO_SEMIACABADO;COMÉRCIO;LIBRA;220,00;0.0022
A;MATERIAL_ALTO_VALOR;QUÍMICA;GRAMA;4500,00;0.00008
A;PRODUTO_ACABADO;ENGENHARIA_MECÂNICA;TONELADA;1600,00;3.9
A;PRODUTO_COMERCIALIZÁVEL;ENGENHARIA_MECÂNICA;UNIDADE;70,00;0.015
B;PRODUTO_MATERIA_PRIMA;QUÍMICA;KG;28,00;0.001
B;MATERIAL_ALTO_VALOR;CONSTRUÇÃO_INDUSTRIAL;LIBRA;180,00;0.002
B;PRODUTO_ACABADO;QUÍMICA;GRAMA;4800,00;0.00009
B;PRODUTO_SEMIACABADO;INDÚSTRIA_FARMACÊUTICA;TONELADA;1700,00;4
B;PRODUTO_COMERCIALIZÁVEL;QUÍMICA;UNIDADE;65,00;0.015
B;PRODUTO_SEMIACABADO;CONSTRUÇÃO_INDUSTRIAL;KG;35;
B;PRODUTO_MATERIA_PRIMA;CONSTRUÇÃO_INDUSTRIAL;KG;35,00;0.0012
B;PRODUTO_COMERCIALIZÁVEL;INDÚSTRIA_FARMACÊUTICA;LIBRA;210,00;0.0021
B;PRODUTO_ACABADO;CONSTRUÇÃO_INDUSTRIAL;GRAMA;5200,00;0.00011
B;PRODUTO_SEMIACABADO;QUÍMICA;TONELADA;1750,00;4.2
B;MATERIAL_ALTO_VALOR;QUÍMICA;UNIDADE;75,00;0.014
B;PRODUTO_COMERCIALIZÁVEL;QUÍMICA;KG;32,00;0.0013
B;PRODUTO_SEMIACABADO;ENGENHARIA_MECÂNICA;LIBRA;190,00;0.002
B;MATERIAL_ALTO_VALOR;ENGENHARIA_MECÂNICA;GRAMA;5100,00;0.0001
B;PRODUTO_ACABADO;ENGENHARIA_MECÂNICA;TONELADA;1800,00;4.3
B;PRODUTO_MATERIA_PRIMA;ENGENHARIA_MECÂNICA;UNIDADE;85,00;0.012
B;PRODUTO_SEMIACABADO;COMÉRCIO;KG;40,00;0.0014
B;PRODUTO_ACABADO;CONSTRUÇÃO_INDUSTRIAL;LIBRA;230,00;0.0023
B;PRODUTO_COMERCIALIZÁVEL;CONSTRUÇÃO_INDUSTRIAL;GRAMA;4700,00;0.00012
B;PRODUTO_MATERIA_PRIMA;QUÍMICA;TONELADA;1850,00;4.1
B;PRODUTO_SEMIACABADO;QUÍMICA;UNIDADE;90,00;0.016
B;MATERIAL_ALTO_VALOR;INDÚSTRIA_FARMACÊUTICA;KG;45,00;0.0014
B;PRODUTO_ACABADO;CONSTRUÇÃO_INDUSTRIAL;LIBRA;200,00;0.002
B;PRODUTO_MATERIA_PRIMA;INDÚSTRIA_FARMACÊUTICA;GRAMA;5500,00;0.00009
B;PRODUTO_SEMIACABADO;QUÍMICA;TONELADA;1900,00;4.4
B;PRODUTO_COMERCIALIZÁVEL;ENGENHARIA_MECÂNICA;UNIDADE;70,00;0.014
B;MATERIAL_ALTO_VALOR;CONSTRUÇÃO_INDUSTRIAL;KG;50,00;0.0015
C;PRODUTO_ACABADO;INDÚSTRIA_FARMACÊUTICA;GRAMA;5200,00;0.00011
C;PRODUTO_COMERCIALIZÁVEL;ENGENHARIA_MECÂNICA;TONELADA;1900,00;4.5
C;PRODUTO_MATERIA_PRIMA;QUÍMICA;UNIDADE;85,00;0.015
C;MATERIAL_ALTO_VALOR;COMÉRCIO;KG;35,00;0.0012
